0,1
159,31192
159,26918
337,6424
364,10595
364,35008
31000,18850
2078,2504
2078,32999
2078,4494
2078,16490
2078,12731
2078,10347
2078,10402
2078,27062
2078,8570
2078,22798
2118,10595
2387,10595
2410,35008
2451,36998
2504,20780
2504,10347
2504,22854
37175,35008
18850,10595
18850,20922
18850,14379
18850,10347
18850,73
18850,36941
18850,20780
18850,22889
73,10352
73,24711
73,20780
73,28822
73,32845
73,26732
73,8351
73,29037
73,8301
73,16881
73,10591
73,12320
73,22854
6536,35008
22854,6554
22854,10595
10591,12320
8301,10402
8327,27072
8327,16469
8351,29037
8351,35008
8351,28822
8390,35008
8397,37044
8570,22584
10347,22836
10347,4575
10402,28909
10402,31141
10595,20780
10595,10631
10595,12731
10595,20922
10595,16490
10595,4494
10595,24905
10595,30782
10595,22889
10636,18466
32881,35008
32999,35008
35076,35008
12320,35008
12731,35008
12744,22837
14537,24905
16881,35008
20780,35008
20808,35008
20922,35008
20922,31141
33204,10631
22584,35008
22889,24953
22971,35008
24711,35008
24905,35008
6554,35008
26732,35008
31141,26825
31141,30762
31141,35008
27062,27072
4494,35008
29106,35008
31192,35008
20578,35008
35008,37210
