Node,Degree Centrality
14954,0.0648721399730821
37289,0.041049798115746966
16631,0.03714670255720053
29023,0.02839838492597577
20528,0.02772543741588156
26110,0.027590847913862716
17099,0.025437415881561235
13647,0.02086137281292059
17792,0.019515477792732164
20193,0.01911170928667564
36620,0.01870794078061911
12978,0.01763122476446837
28944,0.01763122476446837
6149,0.017227456258411843
29710,0.017227456258411843
36468,0.016958277254374158
34603,0.016285329744279944
24473,0.016150740242261104
17395,0.01547779273216689
5673,0.015208613728129206
14352,0.01440107671601615
17010,0.014131897711978465
23589,0.01386271870794078
37682,0.013593539703903094
18035,0.012651413189771197
25839,0.012516823687752355
27933,0.011978465679676984
4088,0.011843876177658141
29391,0.011574697173620457
13413,0.011305518169582772
8357,0.010901749663526245
3887,0.010767160161507403
22321,0.010497981157469716
29115,0.010363391655450874
6424,0.010363391655450874
28909,0.010363391655450874
3724,0.010094212651413189
33291,0.010094212651413189
20657,0.009690444145356662
13761,0.00955585464333782
32582,0.00955585464333782
10660,0.00955585464333782
56,0.009286675639300133
23271,0.00915208613728129
17128,0.00915208613728129
2907,0.00915208613728129
20047,0.00915208613728129
506,0.009017496635262448
12857,0.008882907133243606
20100,0.008613728129205921
30380,0.008613728129205921
32572,0.008344549125168237
23523,0.008209959623149394
24677,0.00794078061911171
11591,0.007806191117092866
2273,0.007806191117092866
36959,0.007806191117092866
31468,0.007671601615074024
19018,0.007671601615074024
1900,0.007537012113055181
4399,0.007537012113055181
910,0.007402422611036338
35665,0.007133243606998654
11225,0.006998654104979811
15384,0.006998654104979811
34042,0.006864064602960969
10609,0.006864064602960969
23228,0.006729475100942126
22837,0.006729475100942126
26649,0.006460296096904441
10703,0.006460296096904441
18949,0.006325706594885599
1358,0.006325706594885599
36559,0.006325706594885599
28601,0.006325706594885599
29620,0.006191117092866756
17850,0.006191117092866756
19905,0.006056527590847913
6218,0.006056527590847913
6984,0.006056527590847913
32566,0.005921938088829071
12539,0.005787348586810228
8142,0.005652759084791386
23629,0.005652759084791386
9352,0.005652759084791386
24363,0.005652759084791386
3961,0.005652759084791386
26918,0.005652759084791386
31713,0.005518169582772544
37678,0.005518169582772544
27291,0.005518169582772544
35521,0.005518169582772544
19362,0.005518169582772544
35686,0.005383580080753701
26356,0.005383580080753701
31354,0.005248990578734858
19982,0.005248990578734858
3757,0.005248990578734858
29584,0.005248990578734858
34594,0.005248990578734858
12744,0.005248990578734858
6669,0.005248990578734858
11117,0.005248990578734858
4069,0.005114401076716016
6625,0.005114401076716016
20861,0.005114401076716016
16037,0.005114401076716016
33380,0.005114401076716016
8783,0.004979811574697173
2330,0.004979811574697173
26753,0.004979811574697173
6394,0.004845222072678331
694,0.004845222072678331
8365,0.004845222072678331
3917,0.004845222072678331
34238,0.004845222072678331
14815,0.004710632570659489
20607,0.004710632570659489
7482,0.004710632570659489
25854,0.004710632570659489
101,0.004576043068640645
15054,0.004576043068640645
30714,0.004576043068640645
14910,0.004576043068640645
17965,0.004576043068640645
34007,0.004576043068640645
36363,0.004441453566621803
