0,1
18562,32782
18562,26666
18562,22606
18562,2078
18562,30809
18562,35008
18562,4128
18562,22666
2054,34944
2078,16390
2078,30814
2078,14417
2078,34999
2078,10403
2078,26649
2078,4193
2078,24718
2078,2171
32885,26666
4174,28859
4174,6301
4174,34989
4174,14400
4193,22642
4193,35008
6301,16390
6301,26666
4128,10403
4128,26666
4128,24730
8328,12384
8357,20528
8357,24649
8390,35008
10372,24718
10403,16469
10403,22666
12297,26693
12384,26666
12454,35008
14400,28859
14400,14417
14400,22604
14400,14483
14400,34849
14400,34989
14417,22642
14483,22642
14483,30809
36935,35008
16390,22606
16390,35008
16469,22666
8246,22642
20528,24677
34944,35008
34944,22666
34944,30809
22606,34989
22606,26740
22642,28859
22642,26666
22642,34849
22642,34989
24595,22666
24718,35008
26649,35008
26666,28859
26666,22666
26666,35008
26666,37044
30814,35008
30814,32821
32821,37044
22666,24649
34989,35008
